means,stds
0.06394803,0.12395548
-0.0029206,0.05631401
-0.00036858,0.05506005
0.00033052,0.05730606
0.00228581,0.05527259
0.0010745,0.05256173
0.00380237,0.04943091
-0.00132878,0.04816721
-0.00146215,0.05069625
0.00637402,0.05185878
0.00294614,0.05005624
0.00444627,0.0514557
-0.0042292,0.04925647
-0.00632328,0.04849556
0.00392288,0.04829871
0.00427047,0.03065018
-0.00198653,0.02710191
-0.00228118,0.02826236
-0.00089782,0.02835774
-0.00117637,0.02868862
-0.00196151,0.02773167
-0.00305766,0.02907628
-0.0001361,0.02948095
0.00096525,0.02793922
-0.00481514,0.03008796
-0.00051114,0.02711631
0.00339989,0.02809516
-0.00469269,0.03064446